Task,T918
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,178.0,20.7
2,178.0,20.7
3,178.0,20.7
4,178.0,20.7
5,178.0,20.7
6,178.0,20.7
7,178.0,20.7
8,178.0,20.7
9,178.0,20.7
10,178.0,20.7
11,178.0,20.7
12,178.0,20.7
13,178.0,20.7
14,178.0,20.7
15,178.0,20.7
16,178.0,20.7
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,5.2,20.4
2,5.2,20.4
3,5.2,20.4
4,5.1,20.4
5,5.1,20.4
6,5.1,20.4
7,5.1,20.4
8,5.1,20.4
9,5.1,20.4
10,5.1,20.4
11,5.1,20.4
12,5.1,20.4
13,5.0,20.4
14,5.1,20.4
15,5.1,20.4
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-169.7,20.2
2,-169.7,20.2
3,-169.7,20.2
4,-169.8,20.2
5,-169.8,20.2
6,-169.8,20.2
7,-169.8,20.2
8,-169.8,20.2
9,-169.8,20.2
10,-169.9,20.2
11,-169.9,20.2
12,-169.9,20.2
13,-169.9,20.2
14,-169.8,20.2
15,-169.8,20.2
16,-169.8,20.2
