"SampleID","TA","Mass","Salinity"
"JUNK 1",2650.48042308797,44.108,35
"ACR-139_20200110_13",2319.51331878506,50.256,37.17
"POR-81_20200110_13",2314.74675015653,50.735,37.34
"ACR-187_20200110_13",2292.28378888548,51.731,37.3
"BK-13_20200110_13",2342.83092224745,50.645,37.47
"POR-79_20200110_13",2258.19395002119,51.79,37.07
"POR-71_20200110_13",2314.37709873477,50.08,37.9
"POC-52_20200110_13",2310.93540302089,49.71,37.44
"ACR-190_20200110_13",2316.44093405702,50.497,37.64
