SampleID,Weight,Salinity
Junk4,60.159,35
1_H_Sq2_20220628,60.268,34.63
2_H_Sq2_20220628,60.21,34.63
1_H_Sq2_20220701,60.133,34.79
2_H_Sq2_20220701,60.201,34.79
1_H_Sq2_20220702,60.299,35.02
2_H_Sq2_20220702,60.688,35.02
1_H_Sq3_20220628,60.114,34.51
2_H_Sq3_20220628,60.211,34.51
