SampleID,Weight,Salinity
Junk2,59.946,35
1_M_Sq3_20220712,60.12,35.17
2_M_Sq3_20220712,60.395,35.17
1_M_Sq1_20220629,59.635,35.48
2_M_Sq1_20220629,60.136,35.48
1_C_Sq1_20220628,60.309,35.36
2_C_Sq1_20220628,59.968,35.36
1_H_Sq2_20220716,60.243,35.21
2_H_Sq2_20220716,59.908,35.21
