SampleID,Weight,Salinity
Junk3,60.24,35
1_C_Sq1_20220706,50.73,35.2
2_C_Sq1_20220706,59.891,35.2
1_C_Sq1_20220701,60.424,35.36
2_C_Sq1_20220701,60.526,35.36
1_C_Sq1_20220630,60.42,35.28
2_C_Sq1_20220630,59.988,35.28
1_H_Sq2_20220712,59.454,35.34
1_H_Sq2_20220712,59.647,35.34
