SampleID,TA,Mass,Salinity
JUNK1,2055.956901,60.469,35
TANK1,2051.356998,60.165,32.21
TANK2,2052.30304,59.926,32.21
TANK3,2047.195086,59.838,32.21
POC-257,2304.394918,60.182,36.79
POR-240,2264.788839,60.261,36.88
POR-262,2258.245209,59.802,36.87
POC-254,2298.567678,60.339,36.86
ACR-265,2293.783562,59.977,37
