"Task","T3466"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","171.0","19.9"
"2","171.0","19.9"
"3","171.0","19.9"
"4","171.1","19.9"
"5","171.1","19.9"
"6","171.1","19.9"
"7","171.2","19.9"
"8","171.1","19.9"
"9","171.1","19.9"
"10","171.1","19.9"
"11","171.2","19.9"
"12","171.2","19.9"
"13","171.2","19.9"
"14","171.2","19.9"
"15","171.3","19.9"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-0.6","19.7"
"2","-0.6","19.7"
"3","-0.6","19.7"
"4","-0.5","19.7"
"5","-0.6","19.7"
"6","-0.5","19.7"
"7","-0.5","19.7"
"8","-0.5","19.7"
"9","-0.5","19.7"
"10","-0.5","19.7"
"11","-0.5","19.7"
"12","-0.5","19.7"
"13","-0.5","19.7"
"14","-0.5","19.7"
"15","-0.5","19.7"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-170.9","19.6"
"2","-171.0","19.6"
"3","-171.0","19.6"
"4","-170.9","19.6"
"5","-170.9","19.6"
"6","-170.9","19.6"
"7","-170.9","19.6"
"8","-170.9","19.6"
"9","-170.9","19.6"
"10","-170.9","19.6"
"11","-171.0","19.6"
"12","-171.0","19.6"
"13","-170.9","19.6"
"14","-171.0","19.6"
"15","-171.0","19.5"
"16","-171.0","19.6"
