"Task","T3208"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","168.9","20.8"
"2","168.9","20.8"
"3","169.0","20.8"
"4","169.0","20.8"
"5","169.1","20.8"
"6","169.1","20.8"
"7","169.1","20.8"
"8","169.2","20.8"
"9","169.2","20.8"
"10","169.2","20.8"
"11","169.2","20.8"
"12","169.2","20.8"
"13","169.3","20.8"
"14","169.3","20.8"
"15","169.3","20.8"
"16","169.3","20.8"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-3.1","20.7"
"2","-3.1","20.7"
"3","-3.1","20.7"
"4","-3.1","20.7"
"5","-3.1","20.7"
"6","-3.1","20.7"
"7","-3.1","20.7"
"8","-3.1","20.7"
"9","-3.0","20.7"
"10","-3.0","20.7"
"11","-3.0","20.7"
"12","-3.0","20.7"
"13","-3.0","20.7"
"14","-3.0","20.7"
"15","-3.1","20.7"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-176.1","20.6"
"2","-176.1","20.6"
"3","-176.2","20.6"
"4","-176.2","20.6"
"5","-176.2","20.6"
"6","-176.2","20.6"
"7","-176.2","20.6"
"8","-176.2","20.6"
"9","-176.2","20.6"
"10","-176.2","20.6"
"11","-176.1","20.6"
"12","-176.2","20.6"
"13","-176.2","20.6"
"14","-176.2","20.6"
"15","-176.2","20.6"
"16","-176.2","20.6"
