"SampleID","TA","Mass","Sample.Index","TA_evap"
"Junk1",2340.84016915177,59.9712,1,2340.84016915177
"Junk2",2323.43366694915,59.6549,2,2322.10674880697
"Junk3",2325.04246334514,60.3939,3,2322.38830528197
"CRM",2238.29693071969,59.9221,4,2234.46641686221
