"SampleID","TA","Mass","Sample.Index","TA_evap"
"Junk1",2366.19217231325,59.6992,1,2366.19217231325
"Junk2",2323.50931128093,59.7202,2,2322.1823499381
"ACR_225_20200914_RUN_7",2315.55652478332,59.8001,3,2312.91319541712
"BLANK_4_20200912_RUN_4",2353.59295897967,59.8394,4,2349.56513303732
"POR_80_20200914_RUN_8",2300.96385204414,59.7662,5,2295.71650004404
"POR_224_20200914_RUN_7",2292.69090471857,60.4517,6,2286.15902179915
"BLANK_10_20200915_RUN_10",2354.51503070181,60.3043,7,2346.46999073358
"POC_45_20200914_RUN_8",2313.6354402996,59.5629,8,2304.41776922271
"ACR_190_20200915_RUN_10",2318.41489856103,59.5506,9,2307.86466011479
"INITIAL_1_20200915_RUN_9",2358.1275672014,59.7355,10,2346.06210494738
"INITIAL_1_20200914_RUN_8",2345.93182405135,60.1714,11,2332.60266596015
"POC_55_20200915_RUN_9",2330.80646100522,59.8678,12,2316.24719293534
"POC_238_20200914_RUN_7",2326.91062271321,60.0789,13,2311.06333129859
"INITIAL_1_20200914_RUN_7",2346.71684369582,60.0851,14,2329.41263554605
"POR_79_20200915_RUN_10",2259.50795663212,59.8509,15,2241.57535380171
"POR_69_20200916_RUN_11",2201.07086556807,59.8883,16,2182.36488087486
"POR_74_20200916_RUN_11",2243.62033823806,60.0087,17,2223.29308715549
"ACR_150_20200914_RUN_8",2302.14093059378,60.1609,18,2279.99243267635
"POR_72_20200915_RUN_10",2292.23951475,60.02,19,2268.90223462246
"POC_44_20200915_RUN_9",2345.21347576985,59.5399,20,2320.02463685542
"POR_83_20200915_RUN_10",2259.30981571438,59.7957,21,2233.78089124303
"POC_248_20200913_RUN_6",2337.56769558103,59.9144,22,2309.84950156228
"POC_47_20200915_RUN_10",2347.51562365146,60.3074,23,2318.37039581832
"POC_53_20200915_RUN_9",2300.85843788014,60.0902,24,2271.01086649196
"BK_9_20200915_RUN_9",2346.37723404926,60.2229,25,2314.63368635073
"INITIAL_1_20200915_RUN_10",2357.36641063696,59.84,26,2324.16406682517
"ACR_213_20200913_RUN_6",2319.03802535657,59.7731,27,2285.08814435473
"POC_201_20200913_RUN_5",2280.25659424016,59.9221,28,2245.61003934737
"POR_253_20200913_RUN_6",2288.57339770679,59.8592,29,2252.53287175865
"POR_242_20200913_RUN_5",2063.6666816676,59.8281,30,2030.02624672192
"POC_239_20200913_RUN_6",2331.01414686482,59.6093,31,2291.72739158058
"POC_375_20200912_RUN_4",2294.77218835755,59.6028,32,2254.82949445576
"CRM",2232.43184057593,59.8275,33,2192.3432777822
