Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,Junk1,10/8/2021 9:44:57 AM,OK,Unchecked,0,,25.0,°C,,2.341,mL,,59.971,g,,59.9712,g,,1.0,g/mL
2,Junk2,10/8/2021 9:55:37 AM,OK,Unchecked,0,,25.0,°C,,2.348,mL,,59.655,g,,59.6549,g,,1.0,g/mL
3,Junk3,10/8/2021 10:06:05 AM,OK,Unchecked,0,,25.0,°C,,2.400,mL,,60.394,g,,60.3939,g,,1.0,g/mL
4,CRM,10/8/2021 10:16:37 AM,OK,Unchecked,0,,25.0,°C,,2.330,mL,,59.922,g,,59.9221,g,,1.0,g/mL
10/8/2021 10:33:52 AMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
