"Task","T3450"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","170.8","19.7"
"2","170.9","19.7"
"3","170.9","19.8"
"4","170.9","19.7"
"5","170.9","19.7"
"6","171.0","19.7"
"7","171.0","19.7"
"8","171.0","19.7"
"9","171.1","19.7"
"10","171.1","19.7"
"11","171.1","19.7"
"12","171.1","19.7"
"13","171.1","19.7"
"14","171.1","19.7"
"15","171.2","19.7"
"16","171.2","19.7"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-0.7","19.6"
"2","-0.6","19.6"
"3","-0.6","19.6"
"4","-0.6","19.6"
"5","-0.6","19.6"
"6","-0.6","19.6"
"7","-0.6","19.6"
"8","-0.6","19.6"
"9","-0.6","19.6"
"10","-0.6","19.6"
"11","-0.6","19.6"
"12","-0.6","19.6"
"13","-0.6","19.6"
"14","-0.6","19.6"
"15","-0.6","19.6"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-171.6","19.6"
"2","-171.6","19.6"
"3","-171.6","19.6"
"4","-171.6","19.6"
"5","-171.6","19.6"
"6","-171.6","19.6"
"7","-171.6","19.6"
"8","-171.7","19.6"
"9","-171.7","19.6"
"10","-171.7","19.6"
"11","-171.7","19.6"
"12","-171.7","19.6"
"13","-171.7","19.6"
"14","-171.7","19.6"
"15","-171.7","19.6"
"16","-171.7","19.6"
