Sample ID1,Weight,Salinity
JUNK1,59.841,35
POC-42,60.339,37.88
POR-73,60.323,37.96
ACR-186,60.143,37.95
BLANK-9,60.213,37.97
ACR-150,60.464,37.95
INITIAL-1,59.952,37.89
ACR-173,59.932,37.95
POC-50,60.098,37.9
