Sample ID1,Weight,Salinity
POC-371,59.653,37.65
POC-373,59.598,37.61
INITIAL-1,59.664,37.68
POR-338,60.389,37.66
ACR-364,59.822,37.65
INITIAL-2,59.961,37.66
TANK1,60.263,34.9
TANK2,,34.9
TANK3,60.413,34.9
