"SampleID","TA","Mass","Salinity"
"JUNK1",2671.41101347413,60.214,35
"HT1",2647.18899941152,60.228,36.36
"HT2",2651.63831021404,59.604,36.36
"BT1",2643.96450489895,59.652,36.38
"BT2",2646.14483266329,60.131,36.38
"BT3",2647.14533373716,59.569,36.38
"QT1",2800.49277999127,59.796,36.14
"QT2",2805.29892183657,59.911,36.14
