"SampleID","TA","Mass","Salinity"
"POC-371",2333.22335273167,59.653,37.65
"POC-373",2319.57500582734,59.598,37.61
"INITIAL-1",2332.42150299334,59.664,37.68
"POR-338",2296.40931234685,60.389,37.66
"ACR-364",2313.9874371687,59.822,37.65
"INITIAL-2",2331.80262384803,59.961,37.66
"TANK1",2256.14833246931,60.263,34.9
"TANK2",2256.10907414494,60.201,34.9
"TANK3",2256.44935146691,60.413,34.9
