Sample ID1,Weight,Salinity
JUNK1,60.173,35
POC-386,60.373,38.06
POR-354,59.868,38.06
INITIAL-2,59.517,38.15
INITIAL-1,60.175,38.14
POC-44,59.912,38.17
BLANK-10,60.094,38.18
POR-79,60.193,38.17
POC-45,60.091,38.18
