Sample ID1,Weight,Salinity
JUNK 1,45.928,35
POC-45_20200111_15,49.453,37.63
POR-74_20200111_14,49.906,37.42
BK-14_20200111_14,51.681,36.79
Initial1_20200111_14,50.312,37.71
ACR-185_20200111_14,51.132,36.84
POC-50_20200111_15,50.158,36.24
POC-68_20200111_15,49.396,36.2
POR-83_20200111_15,50.659,37.42
