"SampleID","TA","Mass","Salinity"
"JUNK1",2265.60200372629,59.841,35
"POC-42",2322.61351513766,60.339,37.88
"POR-73",2216.31310048821,60.323,37.96
"ACR-186",2294.35842028192,60.143,37.95
"BLANK-9",2340.47696082826,60.213,37.97
"ACR-150",2284.40662336857,60.464,37.95
"INITIAL-1",2348.49847005759,59.952,37.89
"ACR-173",2267.79743612355,59.932,37.95
"POC-50",2329.21094044675,60.098,37.9
