"SampleID","TA","Mass","Salinity"
"JUNK1",2044.37361064153,59.274,35
"POC-239",2295.81472407995,60.457,37.03
"INITIAL-1",2315.48416509178,59.894,37.02
"POR-209",2254.08211275199,60.23,37.02
"POC-217",2299.82917108649,60.113,37.01
"BLANK-3",2308.18866510965,59.689,37.02
"POR-221",2172.68917435377,60.417,37.01
"POC-259",2285.3899644917,59.997,37.04
"POC-207",2299.9880480591,59.653,37.04
