Sample ID1,Weight,Salinity
JUNK1,59.736,35
POC-346,59.651,37.77
ACR-393,60.172,37.72
INITIAL-1,60.005,37.74
POC-395,59.603,37.74
POC-48,59.609,37.75
TANK1,60.463,34.77
TANK2,60.411,34.77
TANK3,59.979,34.77
