"SampleID","TA","Mass","Salinity"
"JUNK 1",2275.11059741308,59.205,35
"Initial2_20200105_3",2286.70311453652,59.923,41.15
"BK-3_20200105_3",2355.50140539715,60.611,42.33
"POC-238_20200105_3",2333.0991938732,60.404,40.61
"ACR-234_20200105_3",2272.03282993556,59.905,40.82
"Initial1_20200104_2",2334.63196943655,59.795,40.12
"ACR-229_20200105_3",2257.2695720331,59.706,41.24
"POC-255_20200104_2",2292.36052589222,59.436,38.42
"POC-201_20200104_2",2333.90784638669,59.729,41.52
