"Task","T3559"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","168.3","20.1"
"2","168.3","20.1"
"3","168.3","20.1"
"4","168.4","20.1"
"5","168.4","20.1"
"6","168.4","20.1"
"7","168.5","20.1"
"8","168.5","20.1"
"9","168.5","20.1"
"10","168.5","20.1"
"11","168.6","20.1"
"12","168.6","20.1"
"13","168.6","20.1"
"14","168.6","20.1"
"15","168.6","20.1"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-3.4","20.0"
"2","-3.5","20.0"
"3","-3.5","20.0"
"4","-3.4","20.0"
"5","-3.5","20.0"
"6","-3.4","20.0"
"7","-3.4","20.0"
"8","-3.1","20.0"
"9","-3.2","20.0"
"10","-3.3","20.0"
"11","-3.3","20.0"
"12","-3.3","20.0"
"13","-3.4","20.0"
"14","-3.6","20.0"
"15","-3.4","20.0"
"16","-3.3","20.0"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-176.7","19.9"
"2","-176.8","19.9"
"3","-176.8","19.9"
"4","-176.8","19.9"
"5","-176.8","19.9"
"6","-176.8","19.9"
"7","-176.7","19.9"
"8","-176.8","19.9"
"9","-176.8","19.9"
"10","-176.8","19.9"
"11","-176.8","19.9"
"12","-176.8","19.9"
"13","-176.8","19.9"
"14","-176.8","19.9"
"15","-176.8","19.9"
"16","-176.8","19.9"
