Sample ID1,Weight,Salinity
20240809_2,60.161,38.9
20240710_7,59.974,38.48
20240722_3,60.439,38.74
20240814_2,59.972,38.97
20240726_7,60.442,39.22
20240715_7,59.995,38.8
20240722_2,59.88,38.69
20240809_7,60.286,39.06
20240717_7,60.066,38.91
