Sample ID1,Weight,Salinity
JUNK2,59.637,35
20240717_2,60.29,38.66
20240710_4,59.59,38.51
20240726_5,60.108,38.9
20240802_3,60.552,38.82
20240722_3,60.635,38.4
20240809_6,60.575,39.01
20240722_5,60.544,38.69
20240802_5,59.587,38.86
