"SampleID","TA","Mass","Sample.Index","TA_evap"
"Junk1",2351.79277872736,60.1469,1,2351.79277872736
"Junk2",2317.88361324632,60.1156,2,2316.55986475218
"Junk3",2322.58524805069,60.1014,3,2319.93389502781
"CRM",2230.9353385325,59.5661,4,2227.1174229503
