SampleID,TA,Mass,Salinity
JUNK1,2078.046688,59.851,35
POR-341,2303.485165,59.517,35.82
POC-238,2290.323051,59.502,35.82
BLANK-6,2330.885054,59.868,35.81
POC-378,2317.066965,60.182,35.83
POC-366,2319.944227,59.805,35.8
INITIAL-1,2335.442874,59.799,35.84
ACR-396,2313.47919,59.592,35.85
INITIAL-2,2369.881136,59.78,35.82
