Sample ID1,Weight,Salinity
JUNK1,59.912,35
HT1,60.393,34.55
HT2,59.841,34.55
BT1,60.373,34.28
BT2,59.978,34.28
BT3,60.237,34.28
QT1,60.482,34.01
QT2,59.512,34.01
