Sample ID1,Weight,Salinity
JUNK1,60.011,35
INITIAL-2,60.309,35.66
BLANK-4,60.327,35.64
POC-219,60.164,35.64
POR-216,59.636,35.64
INITIAL-1,59.576,35.66
POC-205,60.252,35.64
POR-383,59.837,35.83
POR-381,60.483,35.84
