SampleID,Weight,Salinity
Junk2,59.958,35
1_C_Sq2_20220630,59.558,34.86
2_C_Sq2_20220630,59.532,34.86
1_M_Sq1_20220702,60.003,35.14
2_M_Sq1_20220702,59.603,35.14
1_C_Sq2_20220706,60.362,35.17
2_C_Sq2_20220706,59.947,35.17
1_C_Sq3_20220712,60.23,35.18
2_C_Sq3_20220712,59.599,35.18
