SampleID,Weight,Salinity
Junk3,,35
1_M_Sq2_20220708,,34.74
2_M_Sq2_20220708,,34.74
1_C_Sq3_20220706,,35.12
2_C_Sq3_20220706,,35.12
1_C_Sq2_20220710,,35.17
2_C_Sq2_20220710,,35.17
1_M_Sq2_20220630,,35.27
2_M_Sq2_20220630,,35.27
