"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk1",2360.14904572436,60.0482,1,2360.14904572436
"junk2",2347.32696894607,60.0307,2,2345.98640528591
"POC_366_2020200912_RUN_4",2339.66440418856,60.4108,3,2336.99355441208
"INITIAL_1_20200913_RUN_5",2363.88907964955,60.0473,4,2359.84363342083
"ACR_186_20200915_RUN_10",2302.76799006607,59.9428,5,2297.51652372612
"ACR_140_20200916_RUN_11",2344.31895769727,59.8587,6,2337.63998630782
"POR_71_20200916_RUN_11",2271.17008843738,59.9535,7,2263.4098261762
"POR_251_20200913_RUN_6",2215.54352692831,59.5779,8,2206.71666028717
"POC_48_20200915_RUN_9",2328.73538143291,59.6577,9,2318.13817833196
"POC_57_20200914_RUN_8",2342.11527866512,60.3579,10,2330.13174398178
"POR_73_20200916_RUN_11",2273.0300446186,60.1943,11,2260.11510118327
"POR_221_20200913_RUN_6",2280.65495409474,60.2386,12,2266.40895494934
"INITIAL_1_20200916_RUN_11",2350.89164353482,59.8138,13,2334.88103075251
"ACR_244_20200913_RUN_5",2305.21212910882,60.1405,14,2288.21396820217
"POC_259_20200914_RUN_7",2335.42874844619,59.7525,15,2316.893599649
"POR_82_20200916_RUN_11",2242.78973213689,60.3408,16,2223.72919616972
"BLANK_5_20200913_RUN_5",2370.05154749696,60.2492,17,2348.57882679483
"ACR_229_20200912_RUN_4",2330.21811283195,60.2157,18,2307.79948922236
"ACR_241_20200913_RUN_5",2317.16678020444,60.2639,19,2293.5757157001
"INITIAL_2_20200915_RUN_9",2366.40709430068,60.3133,20,2340.9906246615
"POC_205_20200913_RUN_6",2347.32409533263,59.7517,21,2320.80065922718
"ACR_173_20200916_RUN_11",2287.24213269366,59.8397,22,2260.1206844799
"CRM",2248.19751422009,60.0427,23,2220.28535546566
