SampleID,TA,Mass,Sample.Index,TA_evap
junk1,2365.552546,59.9305,1,2365.552546
junk2,2342.694786,59.8835,2,2341.356868
junk3,2339.180645,60.4915,3,2336.510347
crm,2243.948001,60.0662,4,2240.107817
