Sample ID1,Weight,Salinity
JUNK1,60.238,35
POR_82,60.378,40.55
POC_57,59.96,40.76
INITIAL2,60.448,40.73
POC_43,60.445,40.78
ACR_51,60.203,40.76
INITIAL2.1,60.354,40.55
INITIAL1,59.857,40.69
BK_13,59.544,40.72
