"SampleID","TA","Mass","Salinity"
"JUNK1",2301.18101568548,59.792,35
"HT1",2147.98064059079,60.422,32.09
"HT2",2149.04887583981,59.937,32.09
"BT1",2146.8009318489,59.793,32.13
"BT2",2152.40934489667,59.905,32.13
"BT3",2148.14797135552,60.445,32.13
"QT1",2523.94953565443,59.729,35.86
"QT2",2528.62889241555,59.575,35.86
