Sample ID1,Weight,Salinity
JUNK1,60.346,35
BLANK-11,59.752,39.4
POC-56,59.896,39.42
POC-40,60.336,39.42
INITIAL-1,59.76,39.41
ACR-178,59.807,39.42
POR-78,60.382,39.41
POR-70,59.548,39.42
ACR-190,59.863,39.44
